Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-04-22,Obiad,"Pierś z kurczaka","578x g",578,572.22,124.27,0,124.27,7.514,1.734,1.734,1.734,,,0,0,335.24,0,,69.36,34.68,0.578,1.156,,3.468,,2.312,0,0,1.734,71.672,,2.89,1387.2,0,190.74,0,2225.3,,317.9,28.9,2.312,
2025-04-22,Obiad,Olej,"20x g",20,176.8,0,,,20,1.34,12.6,5.16,,,0,0,0,0,,,,,,,,,,,,5.34,,,,,,,,,,,,,
2025-04-23,Śniadanie,"Jajko L","5x sztuka",340,475.014,42.5,,,33.014,9.996,,,,,2.04,0,,,,,,,,,,,,,,,,,,,,,,,,544,,,1.496
2025-04-23,Śniadanie,"Pierś z kurczaka","400x g",400,396,86,0,86,5.2,1.2,1.2,1.2,,,0,0,232,0,,48,24,0.4,0.8,,2.4,,1.6,0,0,1.2,49.6,,2,960,0,132,0,1540,,220,20,1.6,
2025-04-23,Śniadanie,Olej,"20x g",20,176.8,0,,,20,1.34,12.6,5.16,,,0,0,0,0,,,,,,,,,,,,5.34,,,,,,,,,,,,,
2025-04-24,Śniadanie,"Pierś z kurczaka","350x g",350,346.5,75.25,0,75.25,4.55,1.05,1.05,1.05,,,0,0,203,0,,42,21,0.35,0.7,,2.1,,1.4,0,0,1.05,43.4,,1.75,840,0,115.5,0,1347.5,,192.5,17.5,1.4,
2025-04-24,Śniadanie,"Jajko L","5x sztuka",340,475.014,42.5,,,33.014,9.996,,,,,2.04,0,,,,,,,,,,,,,,,,,,,,,,,,544,,,1.496
2025-04-24,Śniadanie,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-24,Obiad,"Kleik ryżowy Bobovita","20x g",20,77.6,1.56,,,0.24,0.08,,,,0,17.1,0,,0.36,,,,0.16,,,,,,,,,,,,,,,,,,2.4,,,0.006
2025-04-24,Obiad,Białko,"20x g",20,78,15.8,,15.8,1.3,0.8,0.32,0.02,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,40,,,0.198
